Property Address,Unit,Bedrooms,Area,dummy,Listing Link,Parking,Zip Code,Subsidy,Ground Floor / ADA,Accepts Down Voucher
1345 Constance St,5,2-Bedrooms,Pico-Union,Link,https://www.affordablehousing.com/los-angeles-ca/1345-constance-st-884080/,1 Space,90015,HACLA / BC,-,-
1550 2nd Ave,7,2-Bedrooms,Pico-Union,Link,https://www.affordablehousing.com/los-angeles-ca/1550-2nd-ave-801007/,1 Space,90019,HACLA / BC,-,-
3617 Venice Blvd ,204,2-Bedrooms,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/3617-venice-blvd-832488/,1 Space,90019,HACLA / BC,-,-
1026 W 22nd St,19,2-Bedrooms,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/1026-w-22nd-st-676661/,No Parking,90007,HACLA / BC,-,Yes
2130 W 54th St,Multiple,2-Bedrooms,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/2130-w-54th-st-850526/,1 Space,90062,HACLA / BC,-,Yes
7802 Crocker St,7802,2-Bedrooms,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/7802-crocker-st-841808/,No Parking,90003,HACLA / BC,-,-
620 W 84th St,Multiple,2-Bedrooms,South LA,Link,https://www.affordablehousing.com/los-angeles-ca/620-w-84th-st-843593/,1 Space,90044,HACLA / BC,-,-
11120 Huston St,205,2-Bedrooms,North Hollywood,Link,https://www.affordablehousing.com/north-hollywood-ca/11120-huston-st-812054/,No Parking,91601,HACLA / BC,Yes,-
228 N Soto St,409,2-Bedrooms,Boyle Heights,Link,https://www.affordablehousing.com/los-angeles-ca/228-n-soto-st-850550/,No Parking,90016,BC,Yes,-
10015 Alondra Blvd,Multiple,2-Bedrooms,Bellflower,Link,https://www.affordablehousing.com/bellflower-ca/10015-alondra-blvd-840905/,1 Space,90706,BC,-,Yes
5762 Morley St,311,3-Bedrooms,Westchester,Link,https://www.affordablehousing.com/westchester-ca/5762-morley-st-851194/,1 Space,90045,HACLA / BC,Yes,-,,,,bany
1419 N New Hampshire Ave,Multiple,3-Bedrooms,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/1419-n-new-hampshire-ave-821332/,No Parking,90017,HACLA / BC,Yes,-
4200 Willimet Ave,A,3-Bedrooms,Atwater Village,Link,https://www.affordablehousing.com/los-angeles-ca/4200-willimet-st-811162/,2 Spaces,90039,HACLA / BC,-,-
2525 Hauser Blvd,A,3-Bedrooms,West Adams,Link,https://www.affordablehousing.com/los-angeles-ca/2525-hauser-blvd-847678/,2 Spaces,90016,HACLA / BC,-,-
4805 St Andrews Pl,-,3-Bedrooms,South LA ,Link,https://www.affordablehousing.com/los-angeles-ca/4805-s-st-andrews-pl-824172/,2 Spaces,90062,HACLA / BC,-,-
492 E 41st St,496,3-Bedrooms,South LA ,Link,https://www.affordablehousing.com/los-angeles-ca/492-e-41st-st-854037/,No Parking,90011,HACLA / BC,-,Yes
1426 E 51st St,Multiple,3-Bedrooms,South LA ,Link,https://www.affordablehousing.com/los-angeles-ca/1426-e-51st-st-816306/,No Parking,90011,HACLA / BC,-,Yes
1536 226th St,Multiple,3-Bedrooms,Torrance,Link,https://www.affordablehousing.com/torrance-ca/1536-w-226th-st-841799/,No Parking,90501,HACLA / BC,-,Yes
1237 N Kenmore Ave,1239,4-Bedrooms,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/1237-n-kenmore-ave-848176/,2 Spaces,90029,HACLA / BC,-,-
2728 Oregon St,2734,5-Bedrooms,Boyle Heights,Link,https://www.affordablehousing.com/los-angeles-ca/2728-oregon-st-843687/,No Parking,90023,HACLA / BC,-,Yes
12520 Pacific Ave,6,Studio,Mar Vista,Link,https://www.affordablehousing.com/los-angeles-ca/12520-pacific-ave-674332/,No Parking,90066,HACLA / BC,-,-
3800 Mentone Ave,409,Studio,Culver City,Link,https://www.affordablehousing.com/culver-city-ca/3800-mentone-ave-813424/,No Parking,90232,BC,Yes,-
1419 N New Hampshire Ave,Multiple,Studio,Hollywood,Link,https://www.affordablehousing.com/los-angeles-ca/1419-n-new-hampshire-ave-821329/,No Parking,90017,HACLA / BC,Yes,-
800 N Vermont,Multiple,Studio,Silver Lake,Link,https://www.affordablehousing.com/los-angeles-ca/800-n-vermont-ave-801015/,No Parking,90029,BC,-,-
800 S Western Ave,Multiple,Studio,Koreatown,Link,https://www.affordablehousing.com/los-angeles-ca/800-s-western-ave-807909/,No Parking,90010,HACLA / BC,Yes,-
